dt,dy,theory,ctime,fac_th,fac_lab,cid,,,,,,,,,,,,,,,,,,,
2022-08-29,Thursday,PGDAC Inaugration ,,,,100,,,,,,,,,,,,,,,,,,,
2022-08-30,Friday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-08-31,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-01,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-02,Monday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-03,Tuesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-04,Wednesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-05,Thursday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-06,Friday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-07,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-08,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-09,Monday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-10,Tuesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-11,Wednesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-12,Thursday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-13,Friday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-14,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-15,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-16,Monday,Id E Milad,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-17,Tuesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-18,Wednesday,C++  Programming,"9:30 -1 
2:15 - 5:30",Ms Yogita,Ms Yogita,100,,,,,,,,,,,,,,,,,,,
2022-09-19,Thursday,Operating System,"9:30 -1 
2:15 - 5:30",Ms. Sidhidatri Nayak,Ms. Sidhidatri Nayak,100,,,,,,,,,,,,,,,,,,,
2022-09-20,Friday,Operating System,"9:30 -1 
2:15 - 5:30",Ms. Sidhidatri Nayak,Ms. Sidhidatri Nayak,100,,,,,,,,,,,,,,,,,,,
2022-09-21,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-22,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-23,Monday,Operating System,"9:30 -1 
2:15 - 5:30",Ms. Sidhidatri Nayak,Ms. Sidhidatri Nayak,100,,,,,,,,,,,,,,,,,,,
2022-09-24,Tuesday,Operating System,"9:30 -1 
2:15 - 5:30",Ms. Sidhidatri Nayak,Ms. Sidhidatri Nayak,100,,,,,,,,,,,,,,,,,,,
2022-09-25,Wednesday,Operating System,"9:30 -1
2:15 - 5:30",Ms. Sidhidatri Nayak,Ms. Sidhidatri Nayak,100,,,,,,,,,,,,,,,,,,,
2022-09-26,Thursday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-09-27,Friday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-09-28,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-29,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-09-30,Monday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-01,Tuesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-02,Wednesday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-03,Thursday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-04,Friday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-05,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-06,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-07,Monday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-08,Tuesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-09,Wednesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-10,Thursday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-11,Friday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-12,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-13,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-14,Monday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-15,Tuesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-16,Wednesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-17,Thursday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-18,Friday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-19,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-20,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-21,Monday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-22,Tuesday,"Object oriented programming with Java 
DataBase","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms. Diksha Nagpal,100,,,,,,,,,,,,,,,,,,,
2022-10-23,Wednesday,"Object oriented programming with Java 
 ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms Anu Mahajan,100,,,,,,,,,,,,,,,,,,,
2022-10-24,Thursday,Object oriented programming with Java ,"9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms Anu Mahajan,100,,,,,,,,,,,,,,,,,,,
2022-10-25,Friday,Object oriented programming with Java ,"9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Anu Mahajan,Ms Anu Mahajan,100,,,,,,,,,,,,,,,,,,,
2022-10-26,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-27,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-28,Monday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-29,Tuesday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-30,Wednesday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-10-31,Thursday,Diwali ,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-01,Friday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-02,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-03,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-04,Monday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-05,Tuesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-06,Wednesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-07,Thursday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-08,Friday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-09,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-10,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-11,Monday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-12,Tuesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-13,Wednesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-14,Thursday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-15,Friday,"Guru Nanak Birthday
",,,,100,,,,,,,,,,,,,,,,,,,
2022-11-16,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-17,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-18,Monday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-19,Tuesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-20,Wednesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-21,Thursday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-22,Friday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-23,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-24,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-11-25,Monday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-26,Tuesday,"Web Technology  
Algorithm and datastructure using java ","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Yogita ,100,,,,,,,,,,,,,,,,,,,
2022-11-27,Wednesday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-11-28,Thursday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-11-29,Friday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-11-30,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-01,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-02,Monday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-03,Tuesday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-04,Wednesday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-05,Thursday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-06,Friday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-07,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-08,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-09,Monday,"Software Development Methodologies 
Web based Java 
","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Saruti,Ms Anu,100,,,,,,,,,,,,,,,,,,,
2022-12-10,Tuesday,"Software Development Methodologies 
Web based Java 
","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Saruti,Ms Anu,100,,,,,,,,,,,,,,,,,,,
2022-12-11,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-12,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-13,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-14,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-15,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-16,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-17,Tuesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-18,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-19,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-20,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-21,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-22,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-23,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
